cme_id,speed,type,linked_events,start time
2011-06-14T08:10:00-CME-001,830.0,C,"[{'activityID': '2011-06-17T04:00:00-IPS-001'}, {'activityID': '2011-06-17T07:40:00-IPS-001'}]","06/14/2011, 08:10:00"
2011-06-19T16:48:00-CME-001,583.0,C,,"06/19/2011, 16:48:00"
2011-06-20T18:00:00-CME-001,560.0,C,[{'activityID': '2011-06-21T18:01:00-IPS-001'}],"06/20/2011, 18:00:00"
2011-06-21T03:09:00-CME-001,1000.0,O,,"06/21/2011, 03:09:00"
2011-06-23T12:39:00-CME-001,350.0,S,,"06/23/2011, 12:39:00"
2011-06-28T18:09:00-CME-001,330.0,S,,"06/28/2011, 18:09:00"
2011-06-29T01:25:00-CME-001,490.0,S,,"06/29/2011, 01:25:00"
2011-07-09T00:54:00-CME-001,850.0,C,,"07/09/2011, 00:54:00"
2011-07-09T17:42:00-CME-001,838.0,C,,"07/09/2011, 17:42:00"
2011-07-21T23:18:00-CME-001,608.0,C,,"07/21/2011, 23:18:00"
2011-07-23T12:48:00-CME-001,640.0,C,,"07/23/2011, 12:48:00"
2011-07-24T17:39:00-CME-001,320.0,S,,"07/24/2011, 17:39:00"
2011-07-24T20:18:00-CME-001,660.0,C,,"07/24/2011, 20:18:00"
2011-07-27T06:24:00-CME-001,616.0,C,,"07/27/2011, 06:24:00"
2011-07-28T17:54:00-CME-001,440.0,S,,"07/28/2011, 17:54:00"
2011-08-02T06:40:00-CME-001,900.0,C,[{'activityID': '2011-08-04T21:00:00-IPS-001'}],"08/02/2011, 06:40:00"
2011-08-03T13:55:00-CME-001,1320.0,O,"[{'activityID': '2011-08-03T13:17:00-FLR-001'}, {'activityID': '2011-08-05T17:20:00-IPS-001'}, {'activityID': '2011-08-05T19:20:00-MPC-001'}, {'activityID': '2011-08-05T20:57:00-GST-001'}]","08/03/2011, 13:55:00"
2011-08-04T04:10:00-CME-001,1950.0,O,"[{'activityID': '2011-08-04T03:41:00-FLR-001'}, {'activityID': '2011-08-05T17:20:00-IPS-001'}, {'activityID': '2011-08-05T19:20:00-MPC-001'}, {'activityID': '2011-08-05T20:57:00-GST-001'}, {'activityID': '2011-08-06T12:42:00-IPS-001'}]","08/04/2011, 04:10:00"
2011-08-06T13:00:00-CME-001,430.0,S,,"08/06/2011, 13:00:00"
2011-08-08T18:00:00-CME-001,850.0,C,,"08/08/2011, 18:00:00"
2011-08-09T08:30:00-CME-001,1175.0,O,[{'activityID': '2011-08-13T19:43:00-IPS-001'}],"08/09/2011, 08:30:00"
2011-08-11T11:06:00-CME-001,600.0,C,,"08/11/2011, 11:06:00"
2011-08-12T10:00:00-CME-001,410.0,S,,"08/12/2011, 10:00:00"
2011-08-13T09:00:00-CME-001,300.0,S,,"08/13/2011, 09:00:00"
2011-08-13T10:36:00-CME-001,800.0,C,,"08/13/2011, 10:36:00"
2011-08-16T08:54:00-CME-001,992.0,C,,"08/16/2011, 08:54:00"
2011-08-17T03:24:00-CME-001,595.0,C,[{'activityID': '2011-08-20T21:51:00-IPS-001'}],"08/17/2011, 03:24:00"
2011-08-17T04:39:00-CME-001,1000.0,O,,"08/17/2011, 04:39:00"
2011-08-31T23:39:00-CME-001,260.0,S,,"08/31/2011, 23:39:00"
2011-09-02T06:30:00-CME-001,390.0,S,,"09/02/2011, 06:30:00"
2011-09-03T04:24:00-CME-001,360.0,S,,"09/03/2011, 04:24:00"
2011-09-05T02:00:00-CME-001,606.0,C,[{'activityID': '2011-09-08T16:10:00-IPS-001'}],"09/05/2011, 02:00:00"
2011-09-06T02:09:00-CME-001,300.0,S,[{'activityID': '2011-09-08T10:00:00-IPS-001'}],"09/06/2011, 02:09:00"
2011-09-06T05:54:00-CME-001,670.0,C,"[{'activityID': '2011-09-06T23:33:00-IPS-001'}, {'activityID': '2011-09-08T16:10:00-IPS-001'}]","09/06/2011, 05:54:00"
2011-09-06T22:40:00-CME-001,650.0,C,"[{'activityID': '2011-09-09T11:47:00-IPS-001'}, {'activityID': '2011-09-09T15:00:00-GST-001'}]","09/06/2011, 22:40:00"
2011-09-07T19:00:00-CME-001,632.0,C,,"09/07/2011, 19:00:00"
2011-09-07T20:12:00-CME-001,621.0,C,,"09/07/2011, 20:12:00"
2011-09-07T23:24:00-CME-001,750.0,C,[{'activityID': '2011-09-07T22:32:00-FLR-001'}],"09/07/2011, 23:24:00"
2011-09-08T23:09:00-CME-001,1040.0,O,[{'activityID': '2011-09-11T09:00:00-IPS-001'}],"09/08/2011, 23:09:00"
2011-09-08T23:09:00-CME-002,420.0,S,,"09/08/2011, 23:09:00"
