class_type,end_time(zulu),flare_id,linked_events,peak_time(zulu),power(w/m^2),start_time(zulu)
M1.1,"01/30/2014, 08:41:00",2014-01-30T07:54:00-FLR-001,[{'activityID': '2014-01-30T08:36:00-CME-001'}],"01/30/2014, 08:11:00",1.1000000000000001e-05,"01/30/2014, 07:54:00"
M6.6,"01/30/2014, 16:28:00",2014-01-30T15:48:00-FLR-001,[{'activityID': '2014-01-30T16:24:00-CME-001'}],"01/30/2014, 16:11:00",6.6e-05,"01/30/2014, 15:48:00"
M1.1,"01/31/2014, 15:53:00",2014-01-31T15:32:00-FLR-001,['None Found.'],"01/31/2014, 15:42:00",1.1000000000000001e-05,"01/31/2014, 15:32:00"
M1.0,"02/01/2014, 01:38:00",2014-02-01T01:19:00-FLR-001,['None Found.'],"02/01/2014, 01:25:00",1e-05,"02/01/2014, 01:19:00"
M3.0,"02/01/2014, 07:45:00",2014-02-01T07:14:00-FLR-001,['None Found.'],"02/01/2014, 07:23:00",3.0000000000000004e-05,"02/01/2014, 07:14:00"
M2.6,"02/02/2014, 06:37:00",2014-02-02T06:24:00-FLR-001,['None Found.'],"02/02/2014, 06:34:00",2.6000000000000002e-05,"02/02/2014, 06:24:00"
M2.2,"02/02/2014, 08:29:00",2014-02-02T07:17:00-FLR-001,['None Found.'],"02/02/2014, 08:20:00",2.2000000000000003e-05,"02/02/2014, 07:17:00"
M4.4,"02/02/2014, 09:36:00",2014-02-02T09:24:00-FLR-001,['None Found.'],"02/02/2014, 09:31:00",4.4000000000000006e-05,"02/02/2014, 09:24:00"
M1.3,"02/02/2014, 14:09:00",2014-02-02T14:01:00-FLR-001,['None Found.'],"02/02/2014, 14:06:00",1.3000000000000001e-05,"02/02/2014, 14:01:00"
M1.0,"02/02/2014, 16:29:00",2014-02-02T16:24:00-FLR-001,['None Found.'],"02/02/2014, 16:36:00",1e-05,"02/02/2014, 16:24:00"
M3.1,"02/02/2014, 18:11:00",2014-02-02T18:05:00-FLR-001,['None Found.'],"02/02/2014, 18:18:00",3.1e-05,"02/02/2014, 18:05:00"
